"Sub" "Activity" "Mean" "St.Dev"
"1" 1 "Laying" -0.581241244361709 0.671388534519445
"2" 1 "Sitting" -0.614078607045393 0.614022240125035
"3" 1 "Standing" -0.624477494163733 0.639776252693374
"4" 1 "Walking" -0.312089289933308 0.461209501973432
"5" 1 "Walking Downstairs" -0.283233954386993 0.49736347494479
"6" 1 "Walking Upstairs" -0.395966494290594 0.507309811530976
"7" 2 "Laying" -0.611747026633724 0.67900951352685
"8" 2 "Sitting" -0.619459981911827 0.612009431360936
"9" 2 "Standing" -0.611792998368779 0.64010043152373
"10" 2 "Walking" -0.376564256338131 0.487643169921455
"11" 2 "Walking Downstairs" -0.244111633701132 0.511745037866717
"12" 2 "Walking Upstairs" -0.351408925820492 0.495825330412015
"13" 3 "Laying" -0.611438114423916 0.677733469543095
"14" 3 "Sitting" -0.599964626862153 0.619100679357524
"15" 3 "Standing" -0.600440838687593 0.638409792765061
"16" 3 "Walking" -0.375942817504614 0.496768056260271
"17" 3 "Walking Downstairs" -0.332714137817413 0.529366339837318
"18" 3 "Walking Upstairs" -0.40960654412421 0.522804120215581
"19" 4 "Laying" -0.599150567884864 0.693781310228862
"20" 4 "Sitting" -0.602462887748136 0.626817148259268
"21" 4 "Standing" -0.590470737908865 0.654442981503458
"22" 4 "Walking" -0.417628122207057 0.525330495828583
"23" 4 "Walking Downstairs" -0.344124889025663 0.554593124040113
"24" 4 "Walking Upstairs" -0.398867145520265 0.534784875709099
"25" 5 "Laying" -0.598291057792936 0.710892223826604
"26" 5 "Sitting" -0.600630002895003 0.641985972603994
"27" 5 "Standing" -0.58893418892771 0.665046132530187
"28" 5 "Walking" -0.364110289777837 0.527664084592988
"29" 5 "Walking Downstairs" -0.275818770268745 0.562372850685664
"30" 5 "Walking Upstairs" -0.338500520939012 0.539014910615145
"31" 6 "Laying" -0.584211742608307 0.716950208555276
"32" 6 "Sitting" -0.597263598006362 0.656009662212453
"33" 6 "Standing" -0.597537274980168 0.680373378472646
"34" 6 "Walking" -0.321533681516257 0.538666251024946
"35" 6 "Walking Downstairs" -0.17658773109129 0.575217593765219
"36" 6 "Walking Upstairs" -0.311153107823664 0.551884634847421
"37" 7 "Laying" -0.591273287517786 0.741407321996684
"38" 7 "Sitting" -0.598892536574926 0.681221359166686
"39" 7 "Standing" -0.600177570237863 0.701879993851988
"40" 7 "Walking" -0.289175310077383 0.556154006879354
"41" 7 "Walking Downstairs" -0.292393003735018 0.596665203176683
"42" 7 "Walking Upstairs" -0.405631298787717 0.588242757747171
"43" 8 "Laying" -0.588292958004993 0.762720579037934
"44" 8 "Sitting" -0.605965502640145 0.703475290358312
"45" 8 "Standing" -0.604147426224432 0.728724577392976
"46" 8 "Walking" -0.280430559265221 0.581603221535253
"47" 8 "Walking Downstairs" -0.167667798231567 0.602979341696869
"48" 8 "Walking Upstairs" -0.270540699591621 0.595340648312383
"49" 9 "Laying" -0.587837376804134 0.773036472218754
"50" 9 "Sitting" -0.594051049768551 0.715810007208042
"51" 9 "Standing" -0.59665487056504 0.741970965937469
"52" 9 "Walking" -0.35016621604112 0.615429392779031
"53" 9 "Walking Downstairs" -0.284879360323452 0.645559735263466
"54" 9 "Walking Upstairs" -0.401754108676697 0.638312547574928
"55" 10 "Laying" -0.591228975657813 0.801485491085954
"56" 10 "Sitting" -0.604758984330118 0.753573429720032
"57" 10 "Standing" -0.592069769778629 0.766074477505157
"58" 10 "Walking" -0.304070357105076 0.635789290944073
"59" 10 "Walking Downstairs" -0.233393480776903 0.660941532310006
"60" 10 "Walking Upstairs" -0.31899132765967 0.649229050637191
"61" 11 "Laying" -0.59934973510693 0.827109734242884
"62" 11 "Sitting" -0.599010252617499 0.774830421197845
"63" 11 "Standing" -0.607691625009427 0.798489174372721
"64" 11 "Walking" -0.406022362763777 0.68198279616797
"65" 11 "Walking Downstairs" -0.316720724277812 0.702287486806932
"66" 11 "Walking Upstairs" -0.406364029131929 0.703592939775241
"67" 12 "Laying" -0.584224251456094 0.845136827817698
"68" 12 "Sitting" -0.597456173939219 0.795512603896453
"69" 12 "Standing" -0.585338176810854 0.82002498452589
"70" 12 "Walking" -0.328846182989102 0.70147668840428
"71" 12 "Walking Downstairs" -0.277918678698526 0.731174278306235
"72" 12 "Walking Upstairs" -0.391179209049285 0.722778489457958
"73" 13 "Laying" -0.57669074926851 0.887160491779552
"74" 13 "Sitting" -0.597550517768384 0.835072179602948
"75" 13 "Standing" -0.595117087294545 0.851551045322684
"76" 13 "Walking" -0.288706972457491 0.728495034062065
"77" 13 "Walking Downstairs" -0.281859361085201 0.751850326469544
"78" 13 "Walking Upstairs" -0.379250963542796 0.754084735016719
"79" 14 "Laying" -0.578914037240121 0.901012225503061
"80" 14 "Sitting" -0.597519792585801 0.855277192998863
"81" 14 "Standing" -0.587846799936464 0.877247072173868
"82" 14 "Walking" -0.355082488556172 0.763557503965217
"83" 14 "Walking Downstairs" -0.166835581095306 0.785361528544755
"84" 14 "Walking Upstairs" -0.252052920780384 0.799788952229034
"85" 15 "Laying" -0.588607173259619 0.931547442382712
"86" 15 "Sitting" -0.597303861573594 0.891506919193252
"87" 15 "Standing" -0.592306397641465 0.90844008859367
"88" 15 "Walking" -0.358307171044784 0.803755539452195
"89" 15 "Walking Downstairs" -0.241502714668852 0.823663634659584
"90" 15 "Walking Upstairs" -0.3579387081119 0.818106641282919
"91" 16 "Laying" -0.582878248080227 0.966700559621603
"92" 16 "Sitting" -0.596284586917027 0.925052514393893
"93" 16 "Standing" -0.597000091564868 0.94199354141875
"94" 16 "Walking" -0.397153431738728 0.843155473800687
"95" 16 "Walking Downstairs" -0.298269590966579 0.860427084378305
"96" 16 "Walking Upstairs" -0.402344254332262 0.855998182203281
"97" 17 "Laying" -0.575107574448593 0.999035819147407
"98" 17 "Sitting" -0.595957144524515 0.960945390833983
"99" 17 "Standing" -0.593373607189348 0.976451285245727
"100" 17 "Walking" -0.351292798899793 0.873027986896748
"101" 17 "Walking Downstairs" -0.322471831124743 0.896974477343443
"102" 17 "Walking Upstairs" -0.362062040138446 0.885476521424765
"103" 18 "Laying" -0.588417302591161 1.02920162490171
"104" 18 "Sitting" -0.60068222668988 0.987192721938864
"105" 18 "Standing" -0.592439460146597 1.00331496494712
"106" 18 "Walking" -0.398524307382475 0.911948567999844
"107" 18 "Walking Downstairs" -0.393777301551258 0.935936088940277
"108" 18 "Walking Upstairs" -0.429170755700801 0.929157034080811
"109" 19 "Laying" -0.574667662626755 1.06427619073723
"110" 19 "Sitting" -0.587715460857692 1.01921243453711
"111" 19 "Standing" -0.58531327506921 1.03631340180272
"112" 19 "Walking" -0.199751441987329 0.923889179232029
"113" 19 "Walking Downstairs" -0.0335636335843633 0.958837633794071
"114" 19 "Walking Upstairs" -0.274355757761058 0.94189155253236
"115" 20 "Laying" -0.584232204093911 1.09089947053902
"116" 20 "Sitting" -0.586823756985664 1.0514223693779
"117" 20 "Standing" -0.563538222943544 1.06536417004483
"118" 20 "Walking" -0.219130609373653 0.969859899673589
"119" 20 "Walking Downstairs" -0.199755642377272 0.991441713794489
"120" 20 "Walking Upstairs" -0.293939324741595 0.983588133112249
"121" 21 "Laying" -0.569241164622942 1.12920327244509
"122" 21 "Sitting" -0.589876667887055 1.08976311468823
"123" 21 "Standing" -0.580089663456611 1.10292703377018
"124" 21 "Walking" -0.288109794687544 1.01163986981054
"125" 21 "Walking Downstairs" -0.241880156653971 1.03169980485476
"126" 21 "Walking Upstairs" -0.335609025559299 1.02532233875249
"127" 22 "Laying" -0.5684631111917 1.15905642436977
"128" 22 "Sitting" -0.577451687371894 1.12358968860682
"129" 22 "Standing" -0.575871569161668 1.13862902996097
"130" 22 "Walking" -0.230189279738033 1.04580268370494
"131" 22 "Walking Downstairs" -0.236489315074693 1.06913046327336
"132" 22 "Walking Upstairs" -0.257462903518793 1.05691634209889
"133" 23 "Laying" -0.562691834547799 1.20146545812077
"134" 23 "Sitting" -0.574512812559553 1.16445891924668
